Record ID Number,TIGER Address Range Match Indicator,TIGER Match Type,TIGER Output Address,"Interpolated Longitude, Latitude",TIGER Line ID,TIGER Line ID Side,State Code,County Code,Tract Code,Block Code,address,city,state,zip
230,Match,Exact,"402 UPCHURCH ST, APEX, NC, 27502","-78.861404,35.728756",641577797,L,37,183,53414,2022,402 UPCHURCH STREET, APEX, NC,27502
351,Match,Exact,"3707 MARSH CREEK RD, RALEIGH, NC, 27604","-78.575386,35.819656",72510291,L,37,183,52707,2022,3707 MARSH CREEK RD, RALEIGH, NC,27604
231,Match,Exact,"524 SUNNYBROOK RD, RALEIGH, NC, 27610","-78.58336,35.773598",639848591,L,37,183,52001,2022,524 SUNNYBROOK ROAD, RALEIGH, NC,27610
111,Match,Exact,"1002 MULFORD CT, KNIGHTDALE, NC, 27545","-78.48921,35.7935",72642465,R,37,183,54115,2000,1002 MULFORD COURT, KNIGHTDALE, NC,27545
232,Match,Exact,"201 MORRISVILLE SQUARE WAY, MORRISVILLE, NC, 27560","-78.82875,35.819992",72641399,L,37,183,53607,1108,201 MORRISVILLE SQUARE WAY, MORRISVILLE, NC,27560
112,Match,Exact,"12600 SPRUCE TREE WAY, RALEIGH, NC, 27614","-78.56188,35.93929",72648463,R,37,183,54208,1120,12600 SPRUCE TREE WAY, RALEIGH, NC,27614
233,Match,Exact,"2625 TRAWICK RD, RALEIGH, NC, 27604","-78.579704,35.816616",72538742,L,37,183,52706,1000,2625 TRAWICK ROAD, RALEIGH, NC,27604
354,Match,Exact,"5993 YATES MILL POND RD, RALEIGH, NC, 27606","-78.7285,35.739223",208347852,L,37,183,53007,1000,5993 YATES MILL POND RD, RALEIGH, NC,27606
113,Match,Exact,"3922 BUFFALOE RD, RALEIGH, NC, 27604","-78.57197,35.830658",647313241,R,37,183,52707,2000,3922 BUFFALOE ROAD, RALEIGH, NC,27604
234,Match,Exact,"6620 SIX FORKS RD, RALEIGH, NC, 27615","-78.63997,35.86958",72638296,R,37,183,54006,2003,6620 SIX FORKS ROAD, RALEIGH, NC,27615
114,Match,Exact,"301 N KING CHARLES RD, RALEIGH, NC, 27610","-78.6111,35.7838",647296785,L,37,183,51900,1036,301 NORTH KING CHARLES ROAD, RALEIGH, NC,27610
115,Match,Exact,"8504 HARPS MILL RD, RALEIGH, NC, 27615","-78.60151,35.89183",208362673,R,37,183,54017,1011,8504 HARPS MILL RD, RALEIGH, NC,27615
236,Match,Exact,"204 DIXIE TRL, RALEIGH, NC, 27607","-78.67571,35.793304",72501985,R,37,183,51400,2006,204 DIXIE TRAIL, RALEIGH, NC,27607
116,Match,Exact,"3500 BUFFALOE RD, RALEIGH, NC, 27604","-78.57937,35.831814",612829425,L,37,183,52707,2003,3500 BUFFALOE ROAD, RALEIGH, NC,27604
237,Match,Exact,"10275 CHAPEL HILL RD, MORRISVILLE, NC, 27560","-78.82695,35.830032",72496707,L,37,183,53607,1000,10275 CHAPEL HILL RD, MORRISVILLE, NC,27560
117,Match,Exact,"112 BYRUM ST, CARY, NC, 27511","-78.78009,35.781178",72498530,R,37,183,53506,1002,112 BYRUM ST, CARY, NC,27511
238,Match,Exact,"417 WALTON ST, RALEIGH, NC, 27610","-78.60751,35.77434",72509659,L,37,183,52002,4012,417 WALTON ST, RALEIGH, NC,27610
118,Match,Exact,"2255 HERBERT AKINS RD, FUQUAY VARINA, NC, 27526","-78.80145,35.62221",648795445,L,37,183,53205,1035,2255 HERBERT AKINS RD, FUQUAY-VARINA, NC,27526
239,Match,Non_Exact,"2705 NEW BERN AVE, RALEIGH, NC, 27610","-78.59063,35.784977",612817639,R,37,183,51900,1002,2705 NEW BERN AVE, RALEIGH, NC,27610
