Geographic Area Name,Estimate!!SEX AND AGE!!Total population!!Under 5 years,Percent Estimate!!SEX AND AGE!!Total population!!Under 5 years,,
"Census Tract 501, Wake County, North Carolina",67,1.7,50100,501
"Census Tract 503, Wake County, North Carolina",47,1.5,50300,503
"Census Tract 504, Wake County, North Carolina",78,4,50400,504
"Census Tract 505, Wake County, North Carolina",312,8.4,50500,505
"Census Tract 506, Wake County, North Carolina",283,7.8,50600,506
"Census Tract 507, Wake County, North Carolina",189,5.6,50700,507
"Census Tract 508, Wake County, North Carolina",215,5.3,50800,508
"Census Tract 509, Wake County, North Carolina",187,5.8,50900,509
"Census Tract 510, Wake County, North Carolina",64,2.6,51000,510
"Census Tract 511.01, Wake County, North Carolina",163,2.9,51101,511.01
"Census Tract 511.02, Wake County, North Carolina",0,0,51102,511.02
"Census Tract 512, Wake County, North Carolina",223,4.9,51200,512
"Census Tract 514, Wake County, North Carolina",111,2.2,51400,514
"Census Tract 515.01, Wake County, North Carolina",151,4.5,51501,515.01
"Census Tract 515.02, Wake County, North Carolina",87,4,51502,515.02
"Census Tract 516, Wake County, North Carolina",225,4.7,51600,516
"Census Tract 517, Wake County, North Carolina",236,7.3,51700,517
"Census Tract 518, Wake County, North Carolina",322,7.1,51800,518
"Census Tract 519, Wake County, North Carolina",359,6.9,51900,519
"Census Tract 520.01, Wake County, North Carolina",582,12.6,52001,520.01
"Census Tract 520.02, Wake County, North Carolina",465,8.2,52002,520.02
"Census Tract 521.01, Wake County, North Carolina",596,7,52101,521.01
"Census Tract 521.02, Wake County, North Carolina",676,9.7,52102,521.02
"Census Tract 523.01, Wake County, North Carolina",79,1.2,52301,523.01
"Census Tract 523.02, Wake County, North Carolina",220,2.4,52302,523.02
"Census Tract 524.01, Wake County, North Carolina",187,3.3,52401,524.01
"Census Tract 524.04, Wake County, North Carolina",159,3.4,52404,524.04
"Census Tract 524.06, Wake County, North Carolina",557,7.8,52406,524.06
"Census Tract 524.07, Wake County, North Carolina",241,5.5,52407,524.07
"Census Tract 524.08, Wake County, North Carolina",453,13,52408,524.08
"Census Tract 524.09, Wake County, North Carolina",120,2.9,52409,524.09
"Census Tract 525.03, Wake County, North Carolina",309,4.6,52503,525.03
