,,Ind Month,Shift, Infant,1,2,3,4,5,5-12,ALL,LIC,LIC MAX,Employees,Category Operation,Operation Site,SCC,License Type
92003460,A BRIGHT CHILD LEARNING CENTER,11,-1,0,3,8,8,0,0,0,19,60,60,4,Independent,Converted House,Y,3 Star C 2C
92002888,A KIND GARDEN,11,-1,0,7,3,2,1,1,13,27,12,12,3,Independent,Family Residence,Y,5 Star C 2C
92003352,A MOTHERS TOUCH CHILD DEVELOPMENT CENTER,4,-1,0,0,11,9,9,2,0,31,69,69,7,Independent,Family Residence,Y,4 Star C 2C
92003128,"A MOTHERS TOUCH CHILD DEVELOPMENT CENTER, INC",9,-1,0,3,1,0,0,0,0,4,12,12,1,Independent,Family Residence,Y,3 Star C 2C
92001891,"A MOTHER'S TOUCH CHILD DEVELOPMENT CENTER, INC.",10,-1,0,0,0,0,0,0,1,1,12,0,2,Independent,Family Residence,Y,4 Star C 2C
92002320,"A PLACE TO GROW IN CARY, LLC",12,-1,0,1,3,7,4,0,0,15,12,12,4,Independent,Family Residence,Y,3 Star C 2C
92001810,A SAFE PLACE CHILD ENRICHMENT CENTER,12,-1,7,2,11,6,17,0,0,43,47,47,9,Independent,Converted House,Y,5 Star C 2C
92002296,A SAFE PLACE EARLY LEARNING CENTER,5,-1,0,1,8,15,0,0,0,24,27,27,6,Independent,Converted House,Y,5 Star C 2C
92001651,"ABC LAND, INC II",1,-1,0,0,0,0,51,16,18,85,78,78,12,Independent,Constructed for Child Care,Y,5 Star C 2C
92001611,"ABC LAND, INC.",10,-1,6,9,11,12,8,0,0,46,80,80,13,Independent,Converted House,Y,5 Star C 2C
92001241,ACADEMICALLY BASED CHILD,5,-1,0,0,0,0,47,7,0,54,74,74,7,Independent,Industry/Business,Y,5 Star C 2C
92002485,ALL STARZ CHILDREN'S ACADEMY,6,-1,14,43,56,39,50,4,0,206,299,299,31,Independent,Constructed for Child Care Care,N,5 Star C 2C
92003306,ALL STARZ CHILDREN'S ACADEMY,8,-1,15,32,30,50,62,27,1,217,225,207,29,Independent,Constructed for Child Care Care,N,5 Star C 2C
92000691,ALMA'S CHILDCARE CENTER,2,-1,1,0,0,1,0,0,0,2,12,12,1,Independent,Family Residence,Y,4 Star C 2C
92003584,ALSTON RIDGE ELEMENTARY,6,-1,0,0,0,0,20,9,0,29,36,36,4,Local Public School,School,N,4 Star C 2C
92002546,ANNE'S CHILDCARE INC.,2,-1,0,0,0,0,0,0,6,6,12,12,2,Independent,Family Residence,Y,4 Star C 2C
92003307,"APEX PEAK SCHOOLS, INC.",9,-1,10,0,9,11,21,2,0,53,60,60,7,Independent,Constructed for Child Care Care,N,1 Star C 2C
92002330,APPLETREE CHILD DEVELOPMENT CENTER,8,-1,8,10,16,24,25,12,36,131,172,192,20,Independent,Constructed for Child Care,Y,5 Star C 2C
9255418,APPLETREE DAY CARE,2,-1,2,14,11,4,0,0,0,31,65,65,7,Independent,,Y,5 Star C 2C
92001305,APPLETREE DAY CARE #3,11,-1,3,14,17,11,13,3,35,96,113,118,16,Independent,Industry/Business,Y,5 Star C 2C
92000412,APPLETREE DAY CARE II,7,-1,0,0,0,6,11,5,5,27,50,50,5,Independent,Converted House,Y,5 Star C 2C
92003359,ARROW CHRISTIAN PRESCHOOL,12,-1,0,6,10,5,7,2,30,60,87,87,7,Independent,Religious,Y,4 Star C 2C
9255315,ASBURY PRESCHOOL,10,-1,0,0,12,12,35,26,0,85,150,150,18,Religious Sponsored,,Y,5 Star C 2C
92003225,ASHEBRIDGE CHILDREN'S ACADEMY,12,-1,8,12,24,23,26,4,0,97,99,99,17,Independent,Constructed for Child,Y,5 Star C 2C
92003440,ASHEBRIDGE CHILDREN'S ACADEMY OF APEX,6,-1,7,19,21,10,8,5,0,70,162,162,19,Independent,Constructed for Child Care,Y,5 Star C 2C
92003585,AVERSBORO ELEMENTARY SCHOOL,6,-1,0,0,0,0,20,7,0,27,36,36,6,Local Public School,School,N,4 Star C 2C
92003372,"AVERSBORO ROAD CHILD CARE CENTER, LLC",9,-1,4,2,5,3,14,0,1,29,39,39,6,Independent,Converted Building,Y,4 Star C 2C
92003094,BAILEYWICK ELEMENTARY,8,-1,0,0,0,0,13,2,0,15,18,18,2,Local Public School,School,N,4 Star C 2C
92003437,BAMBINO'S PLAYSCHOOL,5,-1,2,10,10,19,0,0,15,56,164,164,16,Independent,Constructed for Child Care,Y,5 Star C 2C
92003524,BANKS ROAD ELEMENTARY,9,-1,0,0,0,0,16,13,0,29,36,36,5,Local Public School,Government Building,N,5 Star C 2C
92003664,BARBARA H. CURTIS CENTER,9,-1,3,18,1,12,5,3,0,42,82,82,13,Head Start,Constructed for Child Care,N,Temp C
92003525,BARWELL ROAD ELEMENTARY,9,-1,0,0,0,0,4,14,0,18,18,18,3,Local Public School, Government Building,,4 Star C 2C
9259002,BEACON BAPTIST CHURCH DAYCARE,4,-1,2,7,11,15,10,0,0,45,175,175,16,Religious Sponsored  ,Religious,N,Other
92003527,BEAVERDAM ELEMENTARY,9,-1,0,0,0,0,8,7,0,15,18,18,4,Local Public School, Government Building,,5 Star C 2C
92003134,BEDFORD SCHOOL OF DISCOVERY,11,-1,15,19,11,9,15,0,0,69,176,176,12,Independent,Constructed for Child Care,Y,5 Star C 2C
92001201,BEFORE THE BELL PRESCHOOL,1,-1,0,0,2,1,1,0,0,4,12,12,1,Independent,Family Residence,Y,4 Star C 2C
92001250,BEGINNING & BEYOND CHILD DEVELOPMENT CENTER #2,11,-1,5,10,3,0,0,0,0,18,30,30,4,Independent,Modular,Y,4 Star C 2C
92001413,"BEGINNING & BEYOND CHILD DEVELOPMENT CENTER, INC",11,-1,0,0,8,8,12,0,0,28,120,120,5,Independent,Converted Building,Y,4 Star C 2C
9255401,"BETH MEYER PRESCHOOL, INC.",8,-1,0,9,8,5,14,1,0,37,75,75,10,Independent,Religious,N,5 Star C 2C
92003234,BRENTWOOD CHILD CARE-THE FOUNDATION OF,6,-1,3,10,11,26,19,3,60,132,183,183,22,Independent,Constructed for Child,Y,3 Star C 2C
92003591,BRIDGE ACADEMY,7,-1,6,12,10,6,12,4,0,50,65,65,11,Independent,Religious,Y,5 Star C 2C
92001132,BRIGHT BEGINNINGS CHILD DEVELOPMENT CENTER,4,-1,7,5,17,16,56,13,0,114,188,188,12,Independent,Constructed for Child Care,Y,5 Star C 2C
92003163,BRIGHT HAVEN ACADEMY,11,-1,12,14,11,15,12,1,0,65,100,100,8,Independent,Constructed for Child Care,Y,3 Star C 2C
92003661,BRIGHT HORIZONS AT BIOGEN RTP,9,-1,7,8,2,5,3,0,0,25,60,50,9,Franchise,Industry/Business,N,Temp C
92000860,BRIGHT HORIZONS AT RALEIGH CORPORATE CENTER,8,-1,15,16,20,19,24,6,15,115,144,144,18,Independent,Constructed for Child Care,Y,5 Star C 2C
92000571,BRIGHT HORIZONS CHILDREN'S CENTER,3,-1,24,39,41,0,0,0,0,104,192,192,26,Franchise,Constructed for Child Care,Y,5 Star C 2C
92000688,BRIGHT HORIZONS CHILDREN'S CENTER AT THE FORUM,9,-1,23,33,40,44,42,12,14,208,240,240,37,Franchise,Constructed for Child Care,Y,5 Star C 2C
