Index,Contact Information,,City,State,ZIP,Phone,Facility Name,License
1,4020 MITCHELL MILL RD,,RALEIGH,NC,27616,(919) 696-1234,A BRIGHT CHILD LEARNING CENTER,Three Star Center License
2,838 BELMONT DRIVE,,RALEIGH,NC,27610,(919) 671-8125,A KIND GARDEN,Five Star Center License
3,3701-130 SUMNER BLVD,,RALEIGH,NC,27616,(919) 877-0101,A MOTHER'S TOUCH CHILD DEVELOPMENT CENTER,Four Star Center License
4,5429 KISSIMMEE LANE,,RALEIGH,NC,27616,(919) 877-0101,"A MOTHER'S TOUCH CHILD DEVELOPMENT CENTER, INC",Three Star Center License
5,8448 HAINES CREEK LANE,,RALEIGH,NC,27616,(919) 877-0101,"A MOTHER'S TOUCH CHILD DEVELOPMENT CENTER, INC.",Four Star Center License
6,509 MADISON AVE,,CARY,NC,27513,(919) 465-7242,"A PLACE TO GROW IN CARY, LLC",Three Star Center License
7,1216 CROSSLINK ROAD,,RALEIGH,NC,27610,(919) 833-9330,A SAFE PLACE CHILD ENRICHMENT CENTER,Five Star Center License
8,201 CLARENDON CRESCENT,,RALEIGH,NC,27610,(919) 899-3536,A SAFE PLACE EARLY LEARNING CENTER,Five Star Center License
9,55 LILES DEAN RD,,WENDELL,NC,27591,(919) 365-0810,"ABC LAND, INC II",Five Star Center License
10,610 RAYMOND DRIVE,,WENDELL,NC,27591,(919) 365-3212,"ABC LAND, INC.",Five Star Center License
11,916 ROCK QUARRY RD SUITE 101,,RALEIGH,NC,27610,(919) 833-1640,ACADEMICALLY BASED CHILD,Five Star Center License
12,6410 MCCRIMMON PARKWAY,,MORRISVILLE,NC,27560,(919) 467-3339,ALL STARZ CHILDREN'S ACADEMY,Five Star Center License
13,7240 O'KELLY CHAPEL ROAD,,CARY,NC,27519,(919) 237-2445,ALL STARZ CHILDREN'S ACADEMY,Five Star Center License
14,2904 BARWELL ROAD,,RALEIGH,NC,27610,(919) 250-3688,ALMA'S CHILDCARE CENTER,Four Star Center License
15,11555 GREEN LEVEL CHURCH RD,,CARY,NC,27519,(919) 544-2474,ALSTON RIDGE ELEMENTARY,Four Star Center License
16,7229 PILGRIM ROAD,,RALEIGH,NC,27616,(919) 696-1234,ANNE'S CHILDCARE INC.,Four Star Center License
17,432 E WILLIAMS STREET,,APEX,NC,27502,(919) 267-8557,"APEX PEAK SCHOOLS, INC.",One Star Center License
18,4604 POOLE RD,,RALEIGH,NC,27610,(919) 255-3434,APPLETREE CHILD DEVELOPMENT CENTER,Five Star Center License
19,104 CLARENDON CRESCENT,,RALEIGH,NC,27610,(919) 821-7705,APPLETREE DAY CARE,Five Star Center License
20,5105 OLD POOLE RD,,RALEIGH,NC,27610,(919) 231-3949,APPLETREE DAY CARE #3,Five Star Center License
21,2217 NEW BERN AVE,,RALEIGH,NC,27610,(919) 821-7757,APPLETREE DAY CARE II,Five Star Center License
22,4400 OLD POOLE ROAD,,RALEIGH,NC,27610,(919) 830-1948,ARROW CHRISTIAN PRESCHOOL,Four Star Center License
23,6612 CREEDMOOR ROAD,,RALEIGH,NC, 27613-3644,(919) 846-4773,ASBURY PRESCHOOL,Five Star Center License
24,916 OLD HONEYCUTT RD,,FUQUAY-VARINA,NC,27526,(919) 762-0605,ASHEBRIDGE CHILDREN'S ACADEMY,Five Star Center License
25,3901 KILDAIRE FARM ROAD,,APEX,NC,27539,(919) 303-7767,ASHEBRIDGE CHILDREN'S ACADEMY OF APEX,Five Star Center License
26,1605 AVERSBORO RD,,GARNER,NC,27529,(919) 662-2325,AVERSBORO ELEMENTARY SCHOOL,Four Star Center License
27,1701 AVERSBORO ROAD,,GARNER,NC,27529,(919) 395-4136,"AVERSBORO ROAD CHILD CARE CENTER, LLC",Four Star Center License
28,9425 BAILEYWICK ROAD,,RALEIGH,NC,27615,(919) 518-0090,BAILEYWICK ELEMENTARY,Four Star Center License
29,3404 DAVIS DR,,CARY,NC,27519,(919) 694-5777,BAMBINO'S PLAYSCHOOL,Five Star Center License
30,10225 CHAMBERS RD,,RALEIGH,NC,27603,(919) 694-8752,BANKS ROAD ELEMENTARY,Five Star Center License
31,1930 MILBURNIE RD,,RALEIGH,NC,27610,(919) 803-7308,BARBARA H. CURTIS CENTER,Five Star Center License
32,3925 BARWELL RD,,RALEIGH,NC,27610,(919) 661-5405,BARWELL ROAD ELEMENTARY,Four Star Center License
33,2110 TRAWICK ROAD,,RALEIGH,NC,27604,(919) 872-2215,BEACON BAPTIST CHURCH DAYCARE,GS 110-106
34,3591 TARHEEL CLUB RD,,RALEIGH,NC,27604,(919) 694-0222,BEAVERDAM ELEMENTARY,Five Star Center License
35,2601 ST PAULS SQUARE,,RALEIGH,NC,27614,(919) 803-1338,BEDFORD SCHOOL OF DISCOVERY,Five Star Center License
36,2414 KENNINGTON RD,,RALEIGH,NC,27610,(919) 916-5008,BEFORE THE BELL PRESCHOOL,Four Star Center License
37,509 S PERSON ST,,RALEIGH,NC,27601,(919) 856-2273,BEGINNING & BEYOND CHILD DEVELOPMENT CENTER #2,Four Star Center License
38,322 E CABARRUS ST,,RALEIGH,NC,27601,(919) 856-2273,"BEGINNING & BEYOND CHILD DEVELOPMENT CENTER, INC",Four Star Center License
39,504 NEWTON ROAD,,RALEIGH,NC, 27615-6212,(919) 870-6477,"BETH MEYER PRESCHOOL, INC.",Five Star Center License
40,4001 GREEN ROAD,,RALEIGH,NC,27604,(919) 872-6004,BRENTWOOD CHILD CARE - THE FOUNDATION OF KNOWLEDGE,Three Star Center License
41,1601 MARTIN LUTHER KING JR BLVD,,RALEIGH,NC,27610,(919) 696-3146,BRIDGE ACADEMY,Five Star Center License
42,123 BRIGHT BEGINNING WAY,,CARY,NC,27519,(919) 367-0009,BRIGHT BEGINNINGS CHILD DEVELOPMENT CENTER,Five Star Center License
43,7909 CREEDMOOR RD,,RALEIGH,NC,27613,(919) 844-1366,BRIGHT HAVEN ACADEMY,Three Star Center License
44,5000 DAVIS DR,,RESEARCH TRIANGLE,NC,27709,(919) 213-4552,BRIGHT HORIZONS AT BIOGEN RTP,Five Star Center License
45,800 CORPORATE CENTER DR,,RALEIGH,NC,27607,(919) 852-0509,BRIGHT HORIZONS AT RALEIGH CORPORATE CENTER,Five Star Center License
46,101 ENDEAVOR WAY,,CARY,NC,27513,(919) 678-1010,BRIGHT HORIZONS CHILDREN'S CENTER,Five Star Center License
47,8516 OLD LEADMINE ROAD,,RALEIGH,NC, 27615-2933,(919) 845-7180,BRIGHT HORIZONS CHILDREN'S CENTER AT THE FORUM,Five Star Center License
48,2051 SHEPHERD VINEYARD DRIVE,,APEX,NC,27502,(919) 363-4556,BRIGHT HORIZONS CHILDREN'S CTR'S AT SHEPHERD'S VI,Five Star Center License
49,2500 HIGHSTONE ROAD,,CARY,NC,27519,(919) 380-2003,BRIGHT HORIZONS CLUBHOUSE AT WEST CARY,Five Star Center License
50,800 WESTON PARKWAY,,CARY,NC,27513,(919) 678-1010,BRIGHT HORIZONS FAMILY SOLUTIONS,Five Star Center License
51,8317 BRYAN ROAD,,GARNER,NC,27529,(919) 694-7844,BRYAN ROAD ELEMENTARY,Five Star Center License
52,5651 HONEYCUTT RD,,HOLLY SPRINGS,NC,27540,(919) 694-8970,BUCKHORN CREEK ELEMENTARY,Four Star Center License
53,825 COOPER ROAD,,RALEIGH,NC,27610,(919) 250-4750,BUGG ELEMENTARY,One Star Center License
54,1202 LYERLY LANE,,CARY,NC,27511,(919) 481-0014,BUSY BEE PRESCHOOL,Three Star Center License
55,2108 N NEW HOPE ROAD,,RALEIGH,NC,27604,(919) 231-0893,BUSY BEES LEARNING CENTER II,Three Star Center License
56,3801 MITCHELL MILL ROAD,,RALEIGH,NC, 27616-8566,(919) 266-5717,BUTTONS AND BOWS #1,Five Star Center License
57,4204 JACQUELINE LANE,,RALEIGH,NC, 27616-0933,(919) 954-8811,BUTTONS AND BOWS PRESCHOOL II,Five Star Center License
58,614 GRIFFIS STREET,,CARY,NC,27511,(919) 469-2229,"CARY PRESBYTERIAN CHURCH, INC.",GS 110-106
59,529 BETHLEHEM ROAD,,KNIGHTDALE,NC,27545,(919) 266-6220,"CATHY LEE CHILD DEVELOPMENT CENTER, INC.",Three Star Center License
60,11109 POOLE ROAD,,WENDELL,NC,27591,(919) 365-7714,CENTRAL BAPTIST CHURCH PRESCHOOL,GS 110-106
61,2215 WEST MILLBROOK RD,,RALEIGH,NC,27612,(919) 787-7568,CHESTERBROOK ACADEMY,Four Star Center License
62,10200 STRICKLAND ROAD,,RALEIGH,NC, 27615-1859,(919) 847-3120,CHESTERBROOK ACADEMY,Three Star Center License
63,3821 NW CARY PARKWAY,,CARY,NC,27513,(919) 319-9400,CHESTERBROOK ACADEMY,Five Star Center License
64,221 EAST SIX FORKS ROAD,,RALEIGH,NC, 27609-7725,(919) 277-2017,CHILDCARE NETWORK # 59,Five Star Center License
65,1600 BENSON ROAD,,GARNER,NC,27529,(919) 772-5437,CHILDCARE NETWORK #236,Five Star Center License
66,2912 BRENTWOOD ROAD,,RALEIGH,NC, 27604-2422,(919) 872-2354,CHILDCARE NETWORK #60,Five Star Center License
67,4905 WESTERN BLVD,,RALEIGH,NC,27606,(919) 854-2652,CHILDCARE NETWORK #61,Five Star Center License
68,350 WEST JONES STREET,,FUQUAY-VARINA,NC,27526,(919) 557-1262,CHILDCARE NETWORK-FUQUAY VARINA ELC,Five Star Center License
69,5511 AVENT FERRY ROAD,,RALEIGH,NC,27606,(919) 851-0630,CHILDREN'S DISCOVERY CENTER,Three Star Center License
70,7420 MCCRIMMON PARKWAY,,CARY,NC,27519,(919) 388-0470,CHILDRENS LIGHTHOUSE LEARNING CENTER,Temporary License
71,13401 LEESVILLE CHURCH RD,,RALEIGH,NC,27617,(919) 758-8574,CHILDRENS LIGHTHOUSE LEARNING CENTER,Five Star Center License
72,9420 SIX FORKS RD,,RALEIGH,NC, 27615-1929,(919) 844-8788,CHILDTIME CHILDCARE #2013,Four Star Center License
73,6215 LITCHFORD RD,,RALEIGH,NC,27615,(919) 878-9862,"CHILDWORKS, INC.",Four Star Center License
