Tract Code,Tract Income Level,2015 MSA/MD Statewide non-MSA/MD Median Family Income,2019 FFIEC Est. MSA/MD non-MSA/MD Median Family Income,% Below Poverty Line,Tract Median Family Income %,2015 Tract Median Family Income,2019 Est. Tract Median Family Income,2015 Tract Median Household Income
501,Upper,"$78,057 ","$93,100 ",20.23,136.34,"$106,429 ","$126,933 ","$51,264 "
503,Upper,"$78,057 ","$93,100 ",17.28,155.33,"$121,250 ","$144,612 ","$40,128 "
504,Upper,"$78,057 ","$93,100 ",9.93,125.74,"$98,155 ","$117,064 ","$66,875 "
505,Moderate,"$78,057 ","$93,100 ",29.44,61.06,"$47,667 ","$56,847 ","$48,000 "
506,Low,"$78,057 ","$93,100 ",38.47,40.25,"$31,422 ","$37,473 ","$30,745 "
507,Moderate,"$78,057 ","$93,100 ",31.66,61.38,"$47,917 ","$57,145 ","$27,585 "
508,Low,"$78,057 ","$93,100 ",59.7,32.39,"$25,284 ","$30,155 ","$19,368 "
509,Low,"$78,057 ","$93,100 ",52.41,22.26,"$17,381 ","$20,724 ","$16,628 "
510,Middle,"$78,057 ","$93,100 ",19.61,88.61,"$69,167 ","$82,496 ","$40,648 "
511.01,Low,"$78,057 ","$93,100 ",50.47,36.11,"$28,194 ","$33,618 ","$26,681 "
511.02,Unknown,"$78,057 ","$93,100 ",32.79,0,$0 ,$0 ,"$21,771 "
512,Upper,"$78,057 ","$93,100 ",28.25,120.46,"$94,028 ","$112,148 ","$44,762 "
514,Middle,"$78,057 ","$93,100 ",28.67,118.02,"$92,125 ","$109,877 ","$49,010 "
515.01,Upper,"$78,057 ","$93,100 ",7.09,182.38,"$142,368 ","$169,796 ","$96,618 "
515.02,Upper,"$78,057 ","$93,100 ",13.06,130.69,"$102,019 ","$121,672 ","$77,955 "
516,Upper,"$78,057 ","$93,100 ",6.1,187.14,"$146,080 ","$174,227 ","$110,313 "
517,Upper,"$78,057 ","$93,100 ",3.73,224.65,"$175,357 ","$209,149 ","$160,000 "
518,Upper,"$78,057 ","$93,100 ",9.91,122.6,"$95,703 ","$114,141 ","$68,452 "
519,Moderate,"$78,057 ","$93,100 ",26.02,51.24,"$40,000 ","$47,704 ","$36,366 "
520.01,Low,"$78,057 ","$93,100 ",34.72,34.03,"$26,563 ","$31,682 ","$25,950 "
520.02,Low,"$78,057 ","$93,100 ",41.61,40.99,"$32,003 ","$38,162 ","$31,734 "
521.01,Moderate,"$78,057 ","$93,100 ",21.58,60.41,"$47,158 ","$56,242 ","$32,360 "
521.02,Moderate,"$78,057 ","$93,100 ",27.69,61.19,"$47,767 ","$56,968 ","$42,201 "
523.01,Moderate,"$78,057 ","$93,100 ",32.95,65.59,"$51,199 ","$61,064 ","$42,146 "
523.02,Moderate,"$78,057 ","$93,100 ",38.8,75.37,"$58,839 ","$70,169 ","$36,986 "
524.01,Middle,"$78,057 ","$93,100 ",15.51,104.35,"$81,458 ","$97,150 ","$57,386 "
524.04,Upper,"$78,057 ","$93,100 ",29.04,120.16,"$93,798 ","$111,869 ","$63,942 "
524.06,Low,"$78,057 ","$93,100 ",24.31,44.37,"$34,635 ","$41,308 ","$35,953 "
524.07,Moderate,"$78,057 ","$93,100 ",33.88,56.98,"$44,482 ","$53,048 ","$38,715 "
524.08,Low,"$78,057 ","$93,100 ",49.31,29.49,"$23,021 ","$27,455 ","$25,058 "
524.09,Low,"$78,057 ","$93,100 ",43.2,41.08,"$32,072 ","$38,245 ","$31,827 "
525.03,Upper,"$78,057 ","$93,100 ",9.23,157.98,"$123,322 ","$147,079 ","$71,824 "
525.04,Middle,"$78,057 ","$93,100 ",10.99,115.49,"$90,154 ","$107,521 ","$56,210 "
525.05,Middle,"$78,057 ","$93,100 ",8.02,100.69,"$78,598 ","$93,742 ","$64,773 "
525.06,Upper,"$78,057 ","$93,100 ",4.74,140.92,"$110,000 ","$131,197 ","$69,148 "
525.07,Middle,"$78,057 ","$93,100 ",14.49,87.22,"$68,086 ","$81,202 ","$69,543 "
526.01,Upper,"$78,057 ","$93,100 ",4.77,161.2,"$125,833 ","$150,077 ","$105,000 "
526.02,Middle,"$78,057 ","$93,100 ",11.28,101.52,"$79,250 ","$94,515 ","$66,705 "
526.03,Upper,"$78,057 ","$93,100 ",9.01,164.05,"$128,056 ","$152,731 ","$77,054 "
527.01,Moderate,"$78,057 ","$93,100 ",17.49,63.75,"$49,767 ","$59,351 ","$43,395 "
527.04,Moderate,"$78,057 ","$93,100 ",36.27,51.91,"$40,521 ","$48,328 ","$30,912 "
527.05,Moderate,"$78,057 ","$93,100 ",18.67,70.81,"$55,278 ","$65,924 ","$51,188 "
527.06,Moderate,"$78,057 ","$93,100 ",14.96,53.55,"$41,802 ","$49,855 ","$42,128 "
527.07,Moderate,"$78,057 ","$93,100 ",18.57,78.34,"$61,151 ","$72,935 ","$51,908 "
528.01,Middle,"$78,057 ","$93,100 ",6.05,100.7,"$78,611 ","$93,752 ","$65,882 "
528.02,Middle,"$78,057 ","$93,100 ",16.02,80.29,"$62,674 ","$74,750 ","$51,791 "
528.03,Moderate,"$78,057 ","$93,100 ",20.14,69.25,"$54,055 ","$64,472 ","$49,994 "
528.06,Moderate,"$78,057 ","$93,100 ",15,68.14,"$53,194 ","$63,438 ","$55,045 "
528.07,Moderate,"$78,057 ","$93,100 ",13.62,70.21,"$54,806 ","$65,366 ","$60,347 "
528.08,Moderate,"$78,057 ","$93,100 ",9.81,77.61,"$60,583 ","$72,255 ","$57,594 "
528.09,Moderate,"$78,057 ","$93,100 ",10.49,76.66,"$59,844 ","$71,370 ","$53,419 "
529.01,Middle,"$78,057 ","$93,100 ",8.78,98.76,"$77,091 ","$91,946 ","$68,368 "
529.02,Middle,"$78,057 ","$93,100 ",7.12,106.42,"$83,071 ","$99,077 ","$70,024 "
529.03,Upper,"$78,057 ","$93,100 ",6.64,129,"$100,694 ","$120,099 ","$84,717 "
529.04,Middle,"$78,057 ","$93,100 ",7.05,102.51,"$80,021 ","$95,437 ","$67,215 "
530.03,Middle,"$78,057 ","$93,100 ",13.52,106.25,"$82,937 ","$98,919 ","$67,075 "
530.04,Upper,"$78,057 ","$93,100 ",2.45,171.82,"$134,122 ","$159,964 ","$118,125 "
530.05,Upper,"$78,057 ","$93,100 ",2.87,185.36,"$144,688 ","$172,570 ","$131,429 "
530.06,Upper,"$78,057 ","$93,100 ",1.04,157.15,"$122,672 ","$146,307 ","$117,273 "
530.07,Upper,"$78,057 ","$93,100 ",1.17,143.89,"$112,321 ","$133,962 ","$108,222 "
530.08,Middle,"$78,057 ","$93,100 ",9.65,89.71,"$70,026 ","$83,520 ","$62,500 "
530.09,Middle,"$78,057 ","$93,100 ",22.63,88.43,"$69,030 ","$82,328 ","$56,680 "
531.05,Middle,"$78,057 ","$93,100 ",10.51,109.17,"$85,221 ","$101,637 ","$72,260 "
531.06,Middle,"$78,057 ","$93,100 ",24.45,100.35,"$78,333 ","$93,426 ","$65,316 "
531.07,Moderate,"$78,057 ","$93,100 ",14.98,78.29,"$61,117 ","$72,888 ","$56,771 "
531.08,Middle,"$78,057 ","$93,100 ",9.74,88.65,"$69,205 ","$82,533 ","$61,997 "
531.09,Middle,"$78,057 ","$93,100 ",10.84,99.82,"$77,924 ","$92,932 ","$70,918 "
531.1,Middle,"$78,057 ","$93,100 ",7.35,104.39,"$81,490 ","$97,187 ","$70,758 "
531.11,Middle,"$78,057 ","$93,100 ",19.93,97.03,"$75,742 ","$90,335 ","$66,292 "
532.01,Upper,"$78,057 ","$93,100 ",3.74,139.44,"$108,843 ","$129,819 ","$101,415 "
532.02,Upper,"$78,057 ","$93,100 ",1.56,158.53,"$123,750 ","$147,591 ","$116,563 "
532.03,Upper,"$78,057 ","$93,100 ",3.29,120.75,"$94,256 ","$112,418 ","$86,605 "
532.04,Middle,"$78,057 ","$93,100 ",2.49,108.23,"$84,483 ","$100,762 ","$69,115 "
532.05,Upper,"$78,057 ","$93,100 ",12.44,135.15,"$105,500 ","$125,825 ","$90,054 "
532.06,Middle,"$78,057 ","$93,100 ",8.08,102.32,"$79,873 ","$95,260 ","$65,968 "
532.07,Upper,"$78,057 ","$93,100 ",5.74,129.23,"$100,875 ","$120,313 ","$94,267 "
534.05,Upper,"$78,057 ","$93,100 ",1.31,199.84,"$155,994 ","$186,051 ","$129,200 "
534.08,Upper,"$78,057 ","$93,100 ",1.96,182.55,"$142,500 ","$169,954 ","$136,690 "
534.09,Upper,"$78,057 ","$93,100 ",3.38,175.42,"$136,932 ","$163,316 ","$136,951 "
534.1,Upper,"$78,057 ","$93,100 ",2.07,218.29,"$170,392 ","$203,228 ","$155,893 "
534.11,Upper,"$78,057 ","$93,100 ",4.42,198.8,"$155,179 ","$185,083 ","$144,335 "
534.12,Upper,"$78,057 ","$93,100 ",1.65,169.74,"$132,500 ","$158,028 ","$115,781 "
534.13,Upper,"$78,057 ","$93,100 ",3.14,144.05,"$112,446 ","$134,111 ","$94,844 "
534.14,Upper,"$78,057 ","$93,100 ",5.03,134.94,"$105,337 ","$125,629 ","$94,489 "
534.15,Upper,"$78,057 ","$93,100 ",2.43,161.64,"$126,179 ","$150,487 ","$123,147 "
534.16,Upper,"$78,057 ","$93,100 ",3.13,141.52,"$110,469 ","$131,755 ","$82,078 "
534.17,Middle,"$78,057 ","$93,100 ",7.81,83.86,"$65,459 ","$78,074 ","$59,208 "
534.18,Middle,"$78,057 ","$93,100 ",10.11,112.45,"$87,778 ","$104,691 ","$73,750 "
534.19,Upper,"$78,057 ","$93,100 ",0.4,170.67,"$133,220 ","$158,894 ","$127,145 "
534.2,Middle,"$78,057 ","$93,100 ",8.97,110.98,"$86,635 ","$103,322 ","$73,056 "
534.21,Upper,"$78,057 ","$93,100 ",2.24,132.93,"$103,767 ","$123,758 ","$94,357 "
534.22,Upper,"$78,057 ","$93,100 ",0.4,159.22,"$124,286 ","$148,234 ","$119,423 "
534.23,Upper,"$78,057 ","$93,100 ",5.38,134.31,"$104,844 ","$125,043 ","$85,551 "
534.24,Upper,"$78,057 ","$93,100 ",3.13,161.83,"$126,324 ","$150,664 ","$119,926 "
534.25,Upper,"$78,057 ","$93,100 ",3.24,163.1,"$127,315 ","$151,846 ","$116,875 "
535.05,Upper,"$78,057 ","$93,100 ",6.21,134.31,"$104,839 ","$125,043 ","$90,861 "
535.06,Middle,"$78,057 ","$93,100 ",3.85,119.8,"$93,514 ","$111,534 ","$71,487 "
535.07,Middle,"$78,057 ","$93,100 ",14.63,81.73,"$63,802 ","$76,091 ","$54,425 "
535.09,Upper,"$78,057 ","$93,100 ",3.03,156.84,"$122,426 ","$146,018 ","$117,139 "
535.12,Upper,"$78,057 ","$93,100 ",1.68,144.94,"$113,140 ","$134,939 ","$83,672 "
535.13,Moderate,"$78,057 ","$93,100 ",14.18,76.86,"$60,000 ","$71,557 ","$52,625 "
535.16,Middle,"$78,057 ","$93,100 ",7.62,107.14,"$83,636 ","$99,747 ","$59,000 "
535.17,Moderate,"$78,057 ","$93,100 ",22.44,55.9,"$43,640 ","$52,043 ","$48,472 "
535.18,Middle,"$78,057 ","$93,100 ",5.64,114.46,"$89,350 ","$106,562 ","$76,061 "
535.19,Moderate,"$78,057 ","$93,100 ",31.31,60.03,"$46,861 ","$55,888 ","$41,635 "
535.2,Moderate,"$78,057 ","$93,100 ",12.62,73.53,"$57,401 ","$68,456 ","$51,515 "
535.21,Upper,"$78,057 ","$93,100 ",2.81,127.74,"$99,716 ","$118,926 ","$99,176 "
535.22,Upper,"$78,057 ","$93,100 ",1.57,149.84,"$116,961 ","$139,501 ","$99,667 "
535.23,Upper,"$78,057 ","$93,100 ",2.67,152.55,"$119,078 ","$142,024 ","$108,095 "
