id,Geographic Area Name,Total,Total!!Male!!Under 5 years,Total!!Female!!Under 5 years,id,zip
8710000US3728009,"ZCTA5 28009, North Carolina",1119,34,26,8710000US37,28009
8710000US3728692,"ZCTA5 28692, North Carolina",4067,92,120,8710000US37,28692
8710000US3727809,"ZCTA5 27809, North Carolina",5091,129,144,8710000US37,27809
8710000US3728411,"ZCTA5 28411, North Carolina",31636,1050,1101,8710000US37,28411
8710000US3728627,"ZCTA5 28627, North Carolina",1152,39,22,8710000US37,28627
8710000US3727101,"ZCTA5 27101, North Carolina",17257,590,587,8710000US37,27101
8710000US3727516,"ZCTA5 27516, North Carolina",34769,937,895,8710000US37,27516
8710000US3727313,"ZCTA5 27313, North Carolina",6833,147,164,8710000US37,27313
8710000US3727596,"ZCTA5 27596, North Carolina",15614,588,560,8710000US37,27596
8710000US3727565,"ZCTA5 27565, North Carolina",24753,798,708,8710000US37,27565
8710000US3727045,"ZCTA5 27045, North Carolina",8536,298,251,8710000US37,27045
8710000US3728280,"ZCTA5 28280, North Carolina",10,0,0,8710000US37,28280
8710000US3728092,"ZCTA5 28092, North Carolina",37895,1167,1150,8710000US37,28092
8710000US3728644,"ZCTA5 28644, North Carolina",1488,25,32,8710000US37,28644
8710000US3727592,"ZCTA5 27592, North Carolina",15232,592,604,8710000US37,27592
8710000US3728582,"ZCTA5 28582, North Carolina",1588,40,41,8710000US37,28582
8710000US3728762,"ZCTA5 28762, North Carolina",6790,197,148,8710000US37,28762
8710000US3728663,"ZCTA5 28663, North Carolina",614,10,19,8710000US37,28663
8710000US3728546,"ZCTA5 28546, North Carolina",42258,2218,2081,8710000US37,28546
8710000US3728709,"ZCTA5 28709, North Carolina",2225,62,60,8710000US37,28709
8710000US3728720,"ZCTA5 28720, North Carolina",114,2,3,8710000US37,28720
8710000US3727917,"ZCTA5 27917, North Carolina",745,22,30,8710000US37,27917
8710000US3728332,"ZCTA5 28332, North Carolina",482,18,17,8710000US37,28332
8710000US3727976,"ZCTA5 27976, North Carolina",3449,126,102,8710000US37,27976
8710000US3728675,"ZCTA5 28675, North Carolina",6510,168,187,8710000US37,28675
8710000US3727344,"ZCTA5 27344, North Carolina",17789,724,711,8710000US37,27344
8710000US3727839,"ZCTA5 27839, North Carolina",2988,64,74,8710000US37,27839
8710000US3728533,"ZCTA5 28533, North Carolina",0,0,0,8710000US37,28533
8710000US3728056,"ZCTA5 28056, North Carolina",31348,937,827,8710000US37,28056
8710000US3728394,"ZCTA5 28394, North Carolina",5154,188,158,8710000US37,28394
8710000US3727924,"ZCTA5 27924, North Carolina",3140,85,75,8710000US37,27924
8710000US3728725,"ZCTA5 28725, North Carolina",43,0,0,8710000US37,28725
8710000US3727808,"ZCTA5 27808, North Carolina",2225,43,40,8710000US37,27808
8710000US3728722,"ZCTA5 28722, North Carolina",6277,166,149,8710000US37,28722
